epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.2225,1.74908,3.36572,1.3833,0.69451,0.54034,0.61706,0.37513,1.35806,1.89491,1.25568,0.000330846,0.000330846,0.0672463
2,83.0304,1.3757,1.2444,1.18219,0.72299,0.71494,0.77828,0.47404,1.25035,1.2755,1.15968,0.000660891,0.000660891,0.034243
3,130.72,1.29935,1.13698,1.14525,0.72323,0.70544,0.75972,0.45749,1.27083,1.16323,1.20468,0.000987637,0.000987637,0.00123639
4,167.632,1.30037,1.08942,1.15628,0.72896,0.80488,0.83345,0.52012,1.22867,1.01733,1.18508,0.00098515,0.00098515,0.00098515
5,207.375,1.26847,1.04061,1.13976,0.72503,0.8349,0.8407,0.52953,1.22028,0.93843,1.19489,0.0009802,0.0009802,0.0009802
6,249.706,1.24006,0.98671,1.11758,0.75873,0.80675,0.87123,0.55142,1.16663,0.90313,1.1412,0.00097525,0.00097525,0.00097525
7,286.659,1.19898,0.94956,1.11086,0.78877,0.81051,0.86714,0.56597,1.12604,0.88753,1.13296,0.0009703,0.0009703,0.0009703
8,318.678,1.18217,0.92387,1.10125,0.7871,0.85315,0.87929,0.57974,1.10805,0.84016,1.14047,0.00096535,0.00096535,0.00096535
9,355.756,1.1772,0.89,1.09126,0.7887,0.89493,0.89347,0.59888,1.10011,0.78753,1.14762,0.0009604,0.0009604,0.0009604
10,393.704,1.13416,0.86968,1.07642,0.77518,0.91745,0.90657,0.61767,1.07878,0.74848,1.13992,0.00095545,0.00095545,0.00095545
11,427.936,1.15571,0.84088,1.08191,0.80927,0.88931,0.91612,0.61959,1.0569,0.7285,1.10258,0.0009505,0.0009505,0.0009505
12,480.109,1.12287,0.83091,1.07593,0.8134,0.84239,0.90031,0.59336,1.10168,0.75667,1.13263,0.00094555,0.00094555,0.00094555
13,520.166,1.13574,0.82814,1.07848,0.78556,0.92098,0.92586,0.64217,1.03895,0.72247,1.10876,0.0009406,0.0009406,0.0009406
14,557.784,1.12195,0.81137,1.0694,0.80946,0.87242,0.90539,0.56937,1.17636,0.77099,1.16154,0.00093565,0.00093565,0.00093565
15,591.078,1.10785,0.81574,1.06844,0.78338,0.89306,0.91035,0.60397,1.09741,0.74844,1.13836,0.0009307,0.0009307,0.0009307
16,621.994,1.11271,0.78922,1.06618,0.80849,0.91879,0.92599,0.63445,1.0461,0.73009,1.12477,0.00092575,0.00092575,0.00092575
17,651.669,1.09856,0.79255,1.06121,0.78765,0.89773,0.91639,0.60791,1.09174,0.75748,1.13948,0.0009208,0.0009208,0.0009208
18,681.375,1.07009,0.7754,1.04909,0.77358,0.93586,0.92039,0.62355,1.06516,0.69022,1.137,0.00091585,0.00091585,0.00091585
19,711.374,1.08307,0.77571,1.05321,0.83432,0.83865,0.91461,0.63238,1.05778,0.73146,1.12481,0.0009109,0.0009109,0.0009109
20,741.755,1.08243,0.76451,1.05384,0.78755,0.90432,0.92302,0.61885,1.06885,0.71371,1.13132,0.00090595,0.00090595,0.00090595
21,772.712,1.08493,0.78288,1.05156,0.80703,0.92588,0.92481,0.6395,1.01274,0.68182,1.09175,0.000901,0.000901,0.000901
22,803.168,1.05921,0.74745,1.04794,0.78309,0.92683,0.92573,0.6341,1.04522,0.71254,1.10106,0.00089605,0.00089605,0.00089605
23,832.706,1.0781,0.75811,1.04806,0.88746,0.78049,0.92586,0.62986,1.03957,0.69691,1.11126,0.0008911,0.0008911,0.0008911
