epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.243,1.6264,2.09103,1.34495,0.67131,0.61159,0.6406,0.35924,1.3409,1.58547,1.23954,0.000330484,0.000330484,0.0672821
2,69.6312,1.32935,1.2118,1.19965,0.77049,0.72747,0.8181,0.52198,1.24558,1.08355,1.27385,0.000660532,0.000660532,0.0342788
3,105.648,1.27889,1.09088,1.19096,0.77676,0.68884,0.74905,0.4387,1.42124,1.27064,1.34495,0.000987279,0.000987279,0.00127218
4,140.73,1.28455,1.09209,1.19708,0.75227,0.8341,0.85541,0.50238,1.34373,0.96171,1.30036,0.00098515,0.00098515,0.00098515
5,176.289,1.24737,0.98303,1.17603,0.80813,0.86481,0.88713,0.59722,1.1688,0.8502,1.23229,0.0009802,0.0009802,0.0009802
6,212.359,1.19746,0.95929,1.14021,0.8094,0.84979,0.86633,0.5659,1.16814,0.85478,1.1844,0.00097525,0.00097525,0.00097525
7,247.442,1.18281,0.91938,1.14001,0.78489,0.85837,0.87294,0.57773,1.16875,0.85129,1.19308,0.0009703,0.0009703,0.0009703
8,282.514,1.16338,0.90942,1.13348,0.82648,0.82189,0.90121,0.62056,1.12596,0.78913,1.18369,0.00096535,0.00096535,0.00096535
9,318.438,1.15895,0.86888,1.12113,0.80508,0.87746,0.89112,0.58433,1.16531,0.75433,1.1747,0.0009604,0.0009604,0.0009604
10,353.547,1.14077,0.83953,1.11533,0.82685,0.83007,0.87483,0.61053,1.08311,0.77402,1.17223,0.00095545,0.00095545,0.00095545
11,388.685,1.11966,0.83789,1.10057,0.7931,0.90773,0.91092,0.64376,1.01525,0.71275,1.12893,0.0009505,0.0009505,0.0009505
12,424.577,1.13569,0.83607,1.11353,0.79478,0.89754,0.92229,0.66117,1.00252,0.70013,1.12092,0.00094555,0.00094555,0.00094555
13,460.516,1.09148,0.80797,1.09735,0.8142,0.90773,0.91656,0.63592,1.03815,0.7158,1.1355,0.0009406,0.0009406,0.0009406
14,495.61,1.08639,0.78955,1.10466,0.80541,0.91845,0.93113,0.63766,1.08557,0.72334,1.13611,0.00093565,0.00093565,0.00093565
15,530.696,1.09248,0.79149,1.08679,0.80237,0.93562,0.94322,0.67861,1.00942,0.64808,1.12808,0.0009307,0.0009307,0.0009307
16,566.662,1.06028,0.74542,1.07866,0.78924,0.88841,0.90227,0.57321,1.21916,0.78605,1.20739,0.00092575,0.00092575,0.00092575
17,601.68,1.08237,0.76772,1.09723,0.80073,0.91416,0.93086,0.64304,1.04445,0.7133,1.12314,0.0009208,0.0009208,0.0009208
18,636.851,1.06205,0.75421,1.07675,0.81392,0.93562,0.93341,0.652,1.0248,0.6694,1.12361,0.00091585,0.00091585,0.00091585
19,671.967,1.06325,0.75002,1.08443,0.80497,0.89454,0.92621,0.64407,1.07085,0.70465,1.13852,0.0009109,0.0009109,0.0009109
20,707.036,1.05568,0.75328,1.0775,0.80762,0.91887,0.94421,0.66962,0.99959,0.62098,1.09732,0.00090595,0.00090595,0.00090595
21,742.144,1.04682,0.7393,1.07892,0.88296,0.82189,0.93982,0.66527,1.01707,0.69264,1.13218,0.000901,0.000901,0.000901
22,777.207,1.03916,0.74142,1.07361,0.84029,0.88197,0.93505,0.64398,1.05302,0.65714,1.12495,0.00089605,0.00089605,0.00089605
23,812.232,1.04159,0.71935,1.0688,0.80054,0.93562,0.92512,0.64464,1.01252,0.6455,1.10607,0.0008911,0.0008911,0.0008911
24,847.359,1.02044,0.71142,1.06354,0.86634,0.82618,0.93326,0.6394,1.04809,0.68958,1.11916,0.00088615,0.00088615,0.00088615
25,882.397,1.02353,0.70692,1.06777,0.8218,0.95993,0.9509,0.66017,1.02047,0.61199,1.12121,0.0008812,0.0008812,0.0008812
