epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3916,1.5882,2.07175,1.30947,0.68436,0.69981,0.73037,0.44949,1.30996,1.23727,1.2569,0.000330846,0.000330846,0.0672463
2,80.9881,1.33199,1.15829,1.19526,0.72669,0.60362,0.6804,0.40083,1.3543,1.6617,1.28679,0.000660891,0.000660891,0.034243
3,121.324,1.30414,1.07372,1.18437,0.68068,0.6919,0.69958,0.42716,1.26961,1.23435,1.27972,0.000987637,0.000987637,0.00123639
4,161.812,1.29554,1.03696,1.18262,0.72256,0.79647,0.84069,0.53054,1.23577,1.09754,1.21598,0.00098515,0.00098515,0.00098515
5,204.02,1.24295,0.97779,1.14831,0.75819,0.78612,0.84092,0.49202,1.31208,0.95457,1.307,0.0009802,0.0009802,0.0009802
6,245.081,1.22825,0.92671,1.15169,0.77336,0.83866,0.87208,0.552,1.14971,0.83213,1.20213,0.00097525,0.00097525,0.00097525
7,286.381,1.19782,0.90588,1.13587,0.77155,0.89342,0.88893,0.57709,1.14188,0.81846,1.21438,0.0009703,0.0009703,0.0009703
8,327.534,1.17306,0.87643,1.11515,0.79659,0.83761,0.88871,0.59336,1.09353,0.93163,1.15954,0.00096535,0.00096535,0.00096535
9,368.731,1.15425,0.82781,1.10613,0.78163,0.87302,0.89149,0.58735,1.12259,0.80573,1.16475,0.0009604,0.0009604,0.0009604
10,409.04,1.13814,0.84175,1.09685,0.78657,0.92654,0.91292,0.62365,1.0777,0.73421,1.15016,0.00095545,0.00095545,0.00095545
11,450.161,1.1241,0.80263,1.08645,0.7983,0.87054,0.91052,0.61692,1.04366,0.74065,1.12621,0.0009505,0.0009505,0.0009505
12,490.458,1.11343,0.80681,1.08615,0.81237,0.87242,0.91111,0.59207,1.11819,0.73371,1.17623,0.00094555,0.00094555,0.00094555
13,530.81,1.12734,0.80017,1.09037,0.86719,0.85752,0.93228,0.64154,1.05124,0.70937,1.14291,0.0009406,0.0009406,0.0009406
14,571.927,1.10996,0.77763,1.07854,0.81866,0.89493,0.92576,0.62339,1.05771,0.70947,1.14267,0.00093565,0.00093565,0.00093565
15,612.187,1.08713,0.76487,1.06786,0.8545,0.80675,0.90068,0.60678,1.09587,0.78738,1.17913,0.0009307,0.0009307,0.0009307
16,652.566,1.10365,0.75432,1.08111,0.77908,0.89681,0.9011,0.60864,1.07963,0.75384,1.13615,0.00092575,0.00092575,0.00092575
17,692.909,1.10321,0.75819,1.08392,0.78895,0.94184,0.92614,0.62195,1.07106,0.70368,1.15686,0.0009208,0.0009208,0.0009208
18,733.236,1.05382,0.74929,1.05751,0.81344,0.94078,0.93669,0.6437,1.04386,0.6653,1.12875,0.00091585,0.00091585,0.00091585
19,774.335,1.07906,0.7412,1.06301,0.90062,0.79925,0.92037,0.62638,1.0487,0.73761,1.14173,0.0009109,0.0009109,0.0009109
20,814.685,1.0733,0.73201,1.06259,0.78927,0.89869,0.92702,0.62182,1.08635,0.70138,1.16003,0.00090595,0.00090595,0.00090595
21,854.911,1.07261,0.73934,1.06059,0.8286,0.90619,0.94489,0.66168,1.00981,0.63074,1.12086,0.000901,0.000901,0.000901
22,895.955,1.05307,0.72525,1.05414,0.85477,0.85029,0.92987,0.64422,1.03087,0.68716,1.11761,0.00089605,0.00089605,0.00089605
23,936.317,1.06273,0.72399,1.04995,0.83385,0.90056,0.93532,0.63911,1.03848,0.66053,1.13383,0.0008911,0.0008911,0.0008911
24,976.502,1.05059,0.72684,1.0522,0.83414,0.89681,0.91798,0.62272,1.06291,0.71701,1.14105,0.00088615,0.00088615,0.00088615
25,1016.59,1.03546,0.71306,1.04161,0.80322,0.9496,0.94079,0.65425,1.01819,0.62821,1.11557,0.0008812,0.0008812,0.0008812
26,1056.67,1.04509,0.71952,1.04634,0.81871,0.87273,0.91578,0.62203,1.04712,0.68863,1.13253,0.00087625,0.00087625,0.00087625
27,1096.78,1.03742,0.69607,1.0378,0.88569,0.84615,0.94128,0.64169,1.05389,0.64512,1.12896,0.0008713,0.0008713,0.0008713
28,1136.95,1.0595,0.714,1.05414,0.85635,0.86123,0.92444,0.63357,1.02588,0.69301,1.12244,0.00086635,0.00086635,0.00086635
29,1177,1.03776,0.68323,1.04041,0.78505,0.92504,0.9356,0.64492,1.03956,0.66282,1.11864,0.0008614,0.0008614,0.0008614
30,1217.11,1.02779,0.69399,1.03233,0.80823,0.88743,0.93052,0.65069,1.02611,0.70482,1.12292,0.00085645,0.00085645,0.00085645
31,1257.26,1.03089,0.69802,1.04909,0.82716,0.89786,0.93708,0.65086,1.01519,0.65131,1.11642,0.0008515,0.0008515,0.0008515
