epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,2285.83,1.22187,1.57352,1.14095,0.24998,0.70556,0.32291,0.20802,1.10569,1.47905,1.13323,0.0005842,0.0005842,0.0005842
23,2357.01,1.2209,1.57233,1.13953,0.24837,0.72083,0.32547,0.20575,1.10999,1.48199,1.13541,0.0005644,0.0005644,0.0005644
24,2428.14,1.20208,1.5688,1.13459,0.2534,0.68418,0.32762,0.20764,1.12518,1.47418,1.13871,0.0005446,0.0005446,0.0005446
25,2499.26,1.19618,1.54843,1.12803,0.25346,0.66035,0.32517,0.20786,1.10297,1.46031,1.1351,0.0005248,0.0005248,0.0005248
26,2570.03,1.19488,1.55408,1.12381,0.25732,0.69456,0.32679,0.20859,1.10248,1.44979,1.13014,0.000505,0.000505,0.000505
27,2641.08,1.19287,1.55036,1.12709,0.2556,0.70067,0.33043,0.21209,1.09103,1.45332,1.12781,0.0004852,0.0004852,0.0004852
28,2712.42,1.17683,1.53283,1.11815,0.24831,0.72755,0.32791,0.21143,1.09294,1.44608,1.12349,0.0004654,0.0004654,0.0004654
29,2783.37,1.17007,1.53279,1.11276,0.25938,0.68845,0.33191,0.2175,1.08316,1.43942,1.12112,0.0004456,0.0004456,0.0004456
30,2854.79,1.15846,1.52217,1.10982,0.24876,0.72083,0.32354,0.20824,1.09408,1.43892,1.12409,0.0004258,0.0004258,0.0004258
31,2925.51,1.15611,1.51647,1.10965,0.25404,0.70128,0.32727,0.21157,1.08442,1.43706,1.11782,0.000406,0.000406,0.000406
32,2996.22,1.14604,1.51015,1.10688,0.24809,0.73992,0.32876,0.21166,1.07648,1.43681,1.10643,0.0003862,0.0003862,0.0003862
33,3066.93,1.15113,1.50615,1.10305,0.24679,0.72633,0.32378,0.20951,1.07504,1.43561,1.10437,0.0003664,0.0003664,0.0003664
34,3137.64,1.13658,1.50229,1.09951,0.25161,0.7135,0.33006,0.21356,1.06679,1.42318,1.10526,0.0003466,0.0003466,0.0003466
35,3208.48,1.13393,1.49729,1.0996,0.24962,0.71839,0.3316,0.21589,1.06168,1.41935,1.10269,0.0003268,0.0003268,0.0003268
36,3279.51,1.11623,1.48891,1.08777,0.25341,0.70678,0.32888,0.21606,1.07013,1.41864,1.10524,0.000307,0.000307,0.000307
37,3350.39,1.11691,1.48294,1.09042,0.249,0.72572,0.33199,0.21744,1.06505,1.41198,1.10302,0.0002872,0.0002872,0.0002872
38,3421.48,1.10618,1.47473,1.08797,0.25503,0.6909,0.33048,0.21587,1.07186,1.40698,1.10835,0.0002674,0.0002674,0.0002674
39,3492.21,1.09644,1.46279,1.07497,0.24933,0.73732,0.32993,0.21573,1.06395,1.40388,1.10492,0.0002476,0.0002476,0.0002476
