epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8176,1.62942,2.56859,1.35201,0.63755,0.606,0.65311,0.36088,1.40186,2.12629,1.29433,0.000332085,0.000332085,0.0671236
2,49.7388,1.37669,1.25152,1.20525,0.68884,0.64165,0.71506,0.40398,1.36873,1.20446,1.23693,0.000652243,0.000652243,0.0341104
3,74.0681,1.35086,1.16529,1.19929,0.72791,0.79737,0.80713,0.50591,1.21251,1.04329,1.20176,0.000959201,0.000959201,0.00108404
